Ref,Val,Package,PosX,PosY,Rot,Side
"R67","100K","R_0402_1005Metric",-147.430000,-95.180000,180.000000,bottom
"R68","3.65K_603","R_0603_1608Metric",-149.330000,-97.680000,90.000000,bottom
"R69","100K","R_0402_1005Metric",-139.905000,-99.605000,0.000000,bottom
"R70","2.2K_805","R_0603_1608Metric",-140.505000,-94.355000,0.000000,bottom
"R71","10k","R_0603_1608Metric",-129.800000,-74.300000,0.000000,bottom
"R72","44.2K","R_0603_1608Metric",-116.510000,-89.560000,90.000000,bottom
"R73","2.21K","R_0603_1608Metric",-119.985000,-89.560000,-90.000000,bottom
"R74","10m","R_1206_3216Metric",-113.410000,-71.640000,0.000000,bottom
"R75","10K","R_0603_1608Metric",-113.310000,-89.560000,-90.000000,bottom
"R76","3.32K","R_0603_1608Metric",-113.810000,-86.760000,0.000000,bottom
"R77","30R","R_0402_1005Metric",-135.900000,-89.700000,90.000000,bottom
"R78","30.9K","R_0402_1005Metric",-134.750000,-89.700000,-90.000000,bottom
"R79","10K","R_0402_1005Metric",-133.600000,-89.700000,90.000000,bottom
"R80","100K","R_0603_1608Metric",-120.850000,-95.100000,-90.000000,bottom
"R81","82.5K","R_0603_1608Metric",-123.500000,-95.050000,-90.000000,bottom
"R82","100K","R_0603_1608Metric",-123.550000,-98.300000,-90.000000,bottom
"RX1_N1","RX1_N","TP_PAD_1.5x0.8",-209.822875,-91.500000,180.000000,bottom
"RX1_P1","RX1_P","TP_PAD_1.5x0.8",-209.822875,-90.000000,0.000000,bottom
"SBU2","SBU2","TP_PAD_1.5x0.8",-209.822875,-94.500000,180.000000,bottom
"TX2_N1","TX2_N","TP_PAD_1.5x0.8",-209.822875,-102.000000,180.000000,bottom
"TX2_P1","TX2_P","TP_PAD_1.5x0.8",-209.822875,-103.500000,180.000000,bottom
"U1","SY6280","SOT-23-5",-146.000000,-117.600000,180.000000,bottom
"U2","SY6280","SOT-23-5",-170.887500,-117.450000,180.000000,bottom
"U5","ZLDO1117G12TA","SOT-223-3_TabPin2",-195.150000,-118.050000,90.000000,bottom
"U7","LM3489QMM","TSSOP-8_3x3mm_P0.65mm",-156.800000,-89.930000,0.000000,bottom
"U8","SQJ951EP","PowerPAK_SO-8_Dual",-148.810000,-76.470000,-90.000000,bottom
"U9","CWDM3011P","SOIC-8_3.9x4.9mm_P1.27mm",-171.200000,-80.220000,180.000000,bottom
"U10","LM25085MM/NOPB","VSSOP-8_3.0x3.0mm_P0.65mm",-117.210000,-83.960000,90.000000,bottom
"U11","TPS56339DDCR","SOT-23-6",-135.200000,-93.000000,90.000000,bottom
"USB_GND1","USB_GND","TP_PAD_1.5x0.8",-209.822875,-105.000000,0.000000,bottom
"USB_GND3","USB_GND","TP_PAD_1.5x0.8",-209.822875,-88.500000,180.000000,bottom
"VBUS1","VBUS","TP_PAD_1.5x0.8",-209.822875,-100.500000,0.000000,bottom
"VBUS1","VBUS","TP_PAD_1.5x0.8",-209.822875,-93.000000,0.000000,bottom
